"gene_id","marker_symbol","ensembl_id","feature_types","biotypes"
"MGI:88138","Bcl2","ENSMUSG00000057329","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914071","Bcs1l","ENSMUSG00000026172","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444572","Bend6","ENSMUSG00000042182","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2179809","Bivm","ENSMUSG00000041684","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1201607","Blzf1","ENSMUSG00000026577","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1095407","Bmpr2","ENSMUSG00000067336","protein coding gene","protein-coding|protein_coding"
"MGI:1858494","Bok","ENSMUSG00000026278","protein coding gene","protein-coding|protein_coding"
"MGI:1922638","Boll","ENSMUSG00000025977","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1338800","Bpnt1","ENSMUSG00000026617","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918928","Brox","ENSMUSG00000046836","protein coding gene","protein-coding|protein_coding"
"MGI:108384","Btg2","ENSMUSG00000020423","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914132","Bzw1","ENSMUSG00000051223","protein coding gene","protein-coding|protein_coding"
"MGI:3612702","C130026I21Rik","ENSMUSG00000052477","protein coding gene","protein-coding|protein_coding|PUTATIVE_protein_coding"
"MGI:2444831","C130074G19Rik","ENSMUSG00000039349","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3032521","C1ql2","ENSMUSG00000036907","protein coding gene","protein-coding|protein_coding"
"MGI:88229","C4bp","ENSMUSG00000026405","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107438","Cab39","ENSMUSG00000036707","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106217","Cacna1e","ENSMUSG00000004110","protein coding gene","protein-coding|protein_coding"
"MGI:88294","Cacna1s","ENSMUSG00000026407","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1270839","Cacybp","ENSMUSG00000014226","protein coding gene","protein-coding|protein_coding"
"MGI:2137858","Cadm3","ENSMUSG00000005338","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2388073","Camk1g","ENSMUSG00000016179","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922434","Camsap2","ENSMUSG00000041570","protein coding gene","protein-coding|protein_coding"
"MGI:1344392","Capn10","ENSMUSG00000026270","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88264","Capn2","ENSMUSG00000026509","protein coding gene","protein-coding|protein_coding"
"MGI:2181366","Capn8","ENSMUSG00000038599","protein coding gene","protein-coding|protein_coding"
"MGI:2182269","Carf","ENSMUSG00000026017","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1261423","Casp8","ENSMUSG00000026029","protein coding gene","protein-coding|protein_coding"
"MGI:1309468","Casq1","ENSMUSG00000007122","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444274","Ccdc108","ENSMUSG00000047021","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1916918","Ccdc115","ENSMUSG00000042111","protein coding gene","protein-coding|protein_coding"
"MGI:2685601","Ccdc121","ENSMUSG00000050625","protein coding gene","protein-coding|protein_coding"
"MGI:1925266","Ccdc150","ENSMUSG00000025983","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922145","Ccdc181","ENSMUSG00000026578","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919120","Ccdc19","ENSMUSG00000026546","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918079","Ccdc93","ENSMUSG00000026339","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1329031","Ccl20","ENSMUSG00000026166","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920199","Ccnt2","ENSMUSG00000026349","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2138614","Ccnyl1","ENSMUSG00000070871","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:109294","Cd244","ENSMUSG00000004709","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88334","Cd247","ENSMUSG00000005763","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88327","Cd28","ENSMUSG00000026012","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88329","Cd34","ENSMUSG00000016494","protein coding gene","protein-coding|protein_coding"
"MGI:1203290","Cd46","ENSMUSG00000016493","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:88339","Cd48","ENSMUSG00000015355","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:104850","Cd55","ENSMUSG00000026399","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1336885","Cd84","ENSMUSG00000038147","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2441841","Cdc42bpa","ENSMUSG00000026490","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384876","Cdc73","ENSMUSG00000026361","protein coding gene|protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384876","Cdc73","ENSMUSG00000078284","protein coding gene|protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3588198","Cdh19","ENSMUSG00000047216","protein coding gene","protein-coding|protein_coding"
